country,description,duration,genre,language,public,score,title,top_cast,url,year
United States,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,22,Comedy,English,TV-14,8.5,Community,"Joel McHale,Danny Pudi,Donald Glover,Chevy Chase,Gillian Jacobs,Alison Brie,Ken Jeong,Yvette Nicole Brown,Jim Rash,Richard Erdman,Erik Charles Nielsen,Dino Stamatopoulos,Danielle Kaplowitz,John Oliver,Charley Koontz,Luke Youngblood,Paget Brewster,Keith David",https://www.imdb.com//title/tt1439629/?ref_=chttvtp_t_242,2009–2015
Turkey,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,60,Comedy,Turkish,,8.6,Avrupa Yakasi,"Gülse Birsel,Levent Üzümcü,Senay Gürler,Hale Caneroglu,Veysel Diker,Yildirim Öcek,Yavuz Seçkin,Gazanfer Özcan,Hümeyra,Vural Çelik,Engin Günaydin,Rutkay Aziz,Suna Keskin,Ata Demirer,Hasibe Eren,Sarp Apak,Evrim Akin,Bülent Polat",https://www.imdb.com//title/tt0421291/?ref_=chttvtp_t_241,2004–2009
Japan,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,23,"Animation,Comedy,Drama",Japanese,TV-PG,8.5,Your Lie in April,"Natsuki Hanae,Risa Taneda,Ayane Sakura,Ryôta Ôsaka,Erika Harlacher,Adin Rudd,Amanda Céline Miller,Julie Ann Taylor,Erik Scott Kimerer,Abelina Sabrina Rios,Jennifer Alyx,Christina McBride,Ryan Raydarke,Megan Crockett,Erica Lindbeck,Max Mittelman,Erica Mendez,Landon McDonald",https://www.imdb.com//title/tt3895150/?ref_=chttvtp_t_246,2014–2018
United States,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",50,"Documentary,Biography",English,TV-MA,8.5,Chef's Table,"Massimo Bottura,Ruth Reichl,Francis Mallmann,Bill Buford,Dan Barber,Lara Gilmore,Niki Nakayama,Magnus Nilsson,Ben Shewry,David Chang,Dominique Crenn,Grant Achatz,Daniel Humm,Enrique Olvera,Garima Arora,Colman Andrews,Alec Lobrano,Alex Atala",https://www.imdb.com//title/tt4295140/?ref_=chttvtp_t_245,2015–2019
Australia,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,45,"Crime,Drama,Thriller",English,TV-MA,8.6,Wentworth,"Kate Atkinson,Katrina Milosevic,Robbie Magasiva,Jacquie Brennan,Celia Ireland,Pamela Rabe,Kate Jenkinson,Lucia Brancatisano,Lauri McLennan,Bernard Curry,Nicole da Silva,Shareena Clanton,Eloise Wright,Danielle Cormack,Tammy Macintosh,Rarriwuy Hick,Katherine Grinlaw,Susie Porter",https://www.imdb.com//title/tt2433738/?ref_=chttvtp_t_238,2013–2021
Romania,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.",45,"Crime,Drama,Thriller",Romanian,TV-MA,8.7,Umbre,"Serban Pavlu,Maria Obretin,Andreea Vasile,Madalina Craiu,Gabriel Huian,Sergiu Costache,Doru Ana,Dan Hurduc,Stefan Velniciuc,Laurentiu Bãnescu,Sorin Cocis,Mihai Calin,Vitalie Bantas,Dorel Visan,Costel Cascaval,Augustin Viziru,Silvana Mihai,Ion Grosu",https://www.imdb.com//title/tt4269716/?ref_=chttvtp_t_239,2014–2019
United States,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,0,"Crime,Drama,Horror",English,TV-MA,8.5,Hannibal,"Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas,Laurence Fishburne,Scott Thompson,Aaron Abrams,Gillian Anderson,Hettienne Park,Kacey Rohl,Lara Jean Chorostecki,Raúl Esparza,Vladimir Jon Cubrt,Katharine Isabelle,Kalen Davidson,Eddie Izzard,Richard Armitage,Gina Torres,Rutina Wesley",https://www.imdb.com//title/tt2243973/?ref_=chttvtp_t_236,2013–2015
Italy,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,60,Drama,Italian,TV-MA,8.6,My Brilliant Friend,"Alba Rohrwacher,Margherita Mazzucco,Gaia Girace,Annarita Vitolo,Alessio Gallo,Luca Gallone,Francesco Serpico,Giovanni Amura,Giovanni Buselli,Eduardo Scarpetta,Elvis Esposito,Valentina Acca,Antonio Buonanno,Rosaria Langellotto,Gennaro De Stefano,Fabrizio Cottone,Pina Di Gennaro,Riccardo Palmieri",https://www.imdb.com//title/tt7278862/?ref_=chttvtp_t_240,2018– 
United States,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",62,"Drama,Mystery,Sci-Fi",English,TV-MA,8.5,Westworld,"Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandiwe Newton,Tessa Thompson,James Marsden,Luke Hemsworth,Angela Sarafyan,Anthony Hopkins,Aaron Paul,Simon Quarterman,Rodrigo Santoro,Shannon Woodward,Jimmi Simpson,Talulah Riley,Ptolemy Slocum,Leonardo Nam,Ingrid Bolsø Berdal",https://www.imdb.com//title/tt0475784/?ref_=chttvtp_t_237,2016–2022
United States,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,30,"Documentary,Comedy",English,TV-MA,8.5,The Rehearsal,"Nathan Fielder,Journey Baker,Anna Lamadrid,Sawyer J. Bell,Lennon O'Flynn,James O'Neill,Alexander Leiss,Remy Taylor,Joshua James Benard,Liam Risinger,Jennifer Khoe,Thomas McNamara,Gigi Burgdorf,Isaac Lamb,Charlie Cherman,K. Todd Freeman,Vincent Cefalu,Ulla Feldman",https://www.imdb.com//title/tt10802170/?ref_=chttvtp_t_234,2022– 
Japan,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.",118,"Animation,Action,Adventure",Japanese,TV-MA,8.6,Rurouni Kenshin: Trust and Betrayal,"Mayo Suzukaze,Junko Iwao,Nozomu Sasaki,Masami Suzuki,Shûichi Ikeda,Tomokazu Seki,Wataru Takagi,Ryûsei Nakao,Hirotaka Suzuoki,Akari Hibino,Minoru Uchida,Tetsuya Iwanaga,Satoshi Tsuruoka,Mitsuaki Hoshino,Hiromi Setsu,Rikiya Koyama,Hiroshi Takahashi,Hiroshi Shimozaki",https://www.imdb.com//title/tt0203082/?ref_=chttvtp_t_235,1999
United States,"The disappearance of rich-girl-turned-political-activist links the lives of Ceres detective, accidental ship captain and U.N. politician. Amidst political tension between Earth, Mars and the Belt, they unravel the greatest conspiracy.",60,"Drama,Mystery,Sci-Fi",English,TV-14,8.5,The Expanse,"Steven Strait,Dominique Tipper,Wes Chatham,Shohreh Aghdashloo,Cas Anvar,Frankie Adams,Cara Gee,Shawn Doyle,Thomas Jane,Florence Faivre,Nadine Nicole,Chad L. Coleman,Anna Hopkins,Keon Alexander,Jasai Chase-Owens,Andrew Rotilio,Nick E. Tarabay,David Strathairn",https://www.imdb.com//title/tt3230854/?ref_=chttvtp_t_233,2015–2022
United States,Dramatized portrayal of the Apollo manned space program.,60,"Action,Drama,History",English,TV-14,8.6,From the Earth to the Moon,"Tom Hanks,Nick Searcy,Lane Smith,David Andrews,Daniel Hugh Kelly,Stephen Root,David Clyde Carr,Tim Daly,Steve Hofvendahl,Conor O'Farrell,Brett Cullen,Cary Elwes,Ben Marley,Mike Pniewski,Holmes Osborne,Tom Verica,John Posey,Rita Wilson",https://www.imdb.com//title/tt0120570/?ref_=chttvtp_t_231,1998
United Kingdom,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.,30,Comedy,English,TV-MA,8.5,Derry Girls,"Saoirse-Monica Jackson,Louisa Harland,Tara Lynne O'Neill,Kathy Kiera Clarke,Tommy Tiernan,Ian McElhinney,Nicola Coughlan,Jamie-Lee O'Donnell,Dylan Llewellyn,Siobhán McSweeney,Leah O'Rourke,Beccy Henderson,Amelia Crowley,Claire Rafferty,Philippa Dunne,Donna Traynor,Kevin McAleer,Paul Mallon",https://www.imdb.com//title/tt7120662/?ref_=chttvtp_t_232,2018–2022
South Korea,"Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.",75,Drama,Korean,TV-14,8.6,Extraordinary Attorney Woo,"Park Eun-bin,Kang Tae-oh,Kang Ki-young,Jeon Bae-soo,Ren Hanami,Ha Yoon-kyung,Tom Choi,Halley Kim,Eugene Young,Joo Jong-hyuk,Nick Martineau,Jin Kyung,Joo Hyun-young,Jennifer Sun Bell,Baek Ji-won,Im Sung-jae,Anzu Lawson,June Yoon",https://www.imdb.com//title/tt20869502/?ref_=chttvtp_t_230,2022
United States,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",22,"Animation,Adventure,Comedy",English,TV-14,8.5,Futurama,"Billy West,John DiMaggio,Katey Sagal,Tress MacNeille,Phil LaMarr,Maurice LaMarche,Lauren Tom,David Herman,Frank Welker,Kath Soucie,Dawnn Lewis,Tom Kenny,Dan Castellaneta,Al Gore,George Takei,Nicole St. John,Phil Hendrie,Coolio",https://www.imdb.com//title/tt0149460/?ref_=chttvtp_t_228,1999– 
Canada,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.",22,Comedy,English,TV-14,8.5,Schitt's Creek,"Eugene Levy,Catherine O'Hara,Dan Levy,Annie Murphy,Chris Elliott,Emily Hampshire,Jennifer Robertson,Sarah Levy,Karen Robinson,Dustin Milligan,Noah Reid,John Hemphill,Tim Rozon,Marilyn Bellfontaine,Mary Kelly,Jennifer Foster,Lili Connor,Rizwan Manji",https://www.imdb.com//title/tt3526078/?ref_=chttvtp_t_227,2015–2020
Japan,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.",24,"Animation,Action,Adventure",Japanese,TV-PG,8.5,Fullmetal Alchemist,"Vic Mignogna,Aaron Dismuke,Romi Park,Rie Kugimiya,Travis Willingham,Tôru Ohkawa,Colleen Clinkenbeard,Caitlin Glass,Christopher Sabat,Kenji Utsumi,Megumi Toyoguchi,Michiko Neya,Laura Bailey,Yûko Satô,Mike McFarland,Ed Blaylock,Yasunori Matsumoto,Chris Cason",https://www.imdb.com//title/tt0421357/?ref_=chttvtp_t_229,2003–2004
United States,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",28,Comedy,English,TV-MA,8.5,Silicon Valley,"Thomas Middleditch,T.J. Miller,Josh Brener,Martin Starr,Kumail Nanjiani,Amanda Crew,Zach Woods,Matt Ross,Jimmy O. Yang,Suzanne Cryer,Chris Diamantopoulos,Chris Williams,Stephen Tobolowsky,Rogelio T. Ramos,Scott Prendergast,Aly Mawji,Jill E. Alexander,Bernard White",https://www.imdb.com//title/tt2575988/?ref_=chttvtp_t_225,2014–2019
Canada,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",30,Comedy,English,TV-MA,8.6,Letterkenny,"Jared Keeso,Nathan Dales,Michelle Mylett,K. Trevor Wilson,Dylan Playfair,Andrew Herr,Tyler Johnston,Evan Stern,Lisa Codrington,Kamilla Kowal,Jacob Tierney,Patrick McNeil,Dan Petronijevic,Mark Forward,Clark Backo,Jay Bertin,Kaniehtiio Horn,Joel Gagne",https://www.imdb.com//title/tt4647692/?ref_=chttvtp_t_224,2016–2023
United Kingdom,"North and South is a four-part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle-class southerner who is forced to move to the northern town of Milton.",235,"Drama,Romance",English,TV-PG,8.6,North & South,"Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith,Sinéad Cusack,Brendan Coyle,Pauline Quirke,Jo Joyner,Kay Lyon,Lesley Manville,Anna Maxwell Martin,Emma Owen,Jane Booker,Tom Charnock,William Houston,John Light,Brian Protheroe,Will Tacey,Lucy Brown",https://www.imdb.com//title/tt0417349/?ref_=chttvtp_t_222,2004
United States,The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park.,23,"Animation,Action,Adventure",English,TV-PG,8.5,Regular Show,"J.G. Quintel,William Salyers,Sam Marin,Mark Hamill,Roger Craig Smith,Minty Lewis,Janie Haddad Tompkins,Courtenay Taylor,Steve Blum,Fred Tatasciore,John Cygan,Ali Hillis,Linda Cardellini,Jeff Bennett,David Kaye,Robin Atkin Downes,David Ogden Stiers,Troy Baker",https://www.imdb.com//title/tt1710308/?ref_=chttvtp_t_223,2010–2017
Norway,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.",30,"Drama,Romance",Norwegian,Not Rated,8.6,Skam,"Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch,Lisa Teige,Tarjei Sandvik Moe,Ina Svenningdal,Marlon Valdés Langeland,Herman Tømmeraas,Thomas Hayes,Carl Martin Eggesbø,Kristina Ødegaard,Cecilie Martinsen,David Stakston,Henrik Holm,Rakel Øfsti Nesje,Sacha Kleber Nyiligira,Cengiz Al,Simo Mohamed Elhbabi",https://www.imdb.com//title/tt5288312/?ref_=chttvtp_t_220,2015–2017
Canada,Three petty felons have a documentary made about their life in a trailer park.,30,"Comedy,Crime",English,TV-MA,8.5,Trailer Park Boys,"John Paul Tremblay,Robb Wells,Mike Smith,John Dunsworth,Patrick Roach,Sarah Dunsworth,Jeanna Harrison,Tyrone Parsons,Cory Bowles,Shelley Thompson,Lucy Decoutere,Jonathan Torrens,Jacob Rolfe,Barrie Dunn,Michael Jackson,George Green,Leigh MacInnis,Garry James",https://www.imdb.com//title/tt0290988/?ref_=chttvtp_t_218,2001–2018
United Kingdom,"Controversial spoof of current affairs television, and the role of celebrity in the UK.",25,Comedy,English,TV-MA,8.6,Brass Eye,"Christopher Morris,Mark Heap,Kevin Eldon,Doon Mackichan,David Cann,Barbara Durkin,Amelia Bullmore,Albert Welling,Gina McKee,Claire Skinner,Bill Moody,Frazer Brown,Peter Baynham,Bill Bailey,Bill Cashmore,Paul Garner,Sinead Griffin-Lennon,Simon Kunz",https://www.imdb.com//title/tt0118273/?ref_=chttvtp_t_219,1997–2001
United Kingdom,The further adventures in time and space of the alien adventurer known as the Doctor and his companions from planet Earth.,45,"Adventure,Drama,Sci-Fi",English,TV-PG,8.6,Doctor Who,"Jodie Whittaker,Peter Capaldi,Pearl Mackie,Matt Smith,David Tennant,Nicholas Briggs,Jon Davey,Jenna Coleman,Paul Kasey,Karen Gillan,Billie Piper,Mandip Gill,Simon Carew,Arthur Darvill,Bradley Walsh,Tosin Cole,Barnaby Edwards,Ruari Mears",https://www.imdb.com//title/tt0436992/?ref_=chttvtp_t_226,2005–2022
United States,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.",331,"Action,Adventure,Biography",English,TV-MA,8.5,Spartacus: Gods of the Arena,"John Hannah,Manu Bennett,Peter Mensah,Dustin Clare,Nick E. Tarabay,Lucy Lawless,Craig Walsh-Wrightson,Lesley-Ann Brandt,Antonio Te Maioha,Stephen Lovatt,Shane Rangi,Jessica Grace Smith,Raicho Vasilev,Ioane King,Marisa Ramirez,Gareth Williams,Jeffrey Thomas,Jaime Murray",https://www.imdb.com//title/tt1758429/?ref_=chttvtp_t_221,2011
